"","id","county","chci09","chci10","chci11","chci12","chci13","chci14","chci15","chci16","chci17","pop09","pop10","pop11","pop12","pop13","pop14","pop15","pop16","pop17","chcig","chcigr","popg","popgr"
"1090",21193,"Perry County, Kentucky",118.09,117.79,119.66,120.46,120.74,120.93,124.22,125.15,124.81,19760,19798,19802,19752,19751,19703,19537,19511,19143,6.72000000000001,0.0569057498518081,-617,-0.0312246963562753
"1091",21195,"Pike County, Kentucky",120.38,120.07,120.22,121.39,121.81,122.02,123.87,123.79,124.45,45702,45445,45475,45351,45115,44860,44383,43893,43282,4.07000000000001,0.0338096029240738,-2420,-0.0529517307776465
"1092",21197,"Powell County, Kentucky",117.35,118.08,118.52,119.51,120.1,122.48,122.76,125.24,125.36,9275,8498,8520,8426,8384,8382,8390,8346,8358,8.00999999999998,0.0682573498082657,-917,-0.0988679245283019
"1093",21199,"Pulaski County, Kentucky",122.94,125.34,125.52,125.64,127.33,126.94,126.85,127.5,128.39,41818,43219,43647,43888,44095,44246,44353,44608,44738,5.45000000000002,0.0443305677566294,2920,0.0698263905495241
"1094",21201,"Robertson County, Kentucky",114.35,114.59,117.39,119.85,122.36,123.24,125.5,126.72,126.35,1336,1376,1321,1417,1536,1544,1572,1587,1543,12,0.104940970703979,207,0.154940119760479
"1095",21203,"Rockcastle County, Kentucky",114.65,117.19,117,119.05,120.48,121.45,119.84,120.39,122.15,11441,11658,11750,11762,11762,11777,11820,11828,11794,7.49999999999999,0.0654164849542083,353,0.0308539463333625
"1096",21205,"Rowan County, Kentucky",134.08,134.95,134.58,134.44,134.32,137.23,140.23,140.08,141.53,12345,13421,13460,13602,13483,13604,13617,13907,13920,7.45000000000002,0.0555638424821004,1575,0.127582017010936
"1097",21207,"Russell County, Kentucky",122.48,122.03,122.47,120.28,121.31,120.41,122.61,122.2,123.87,11927,12166,12288,12273,12277,12351,12374,12424,12466,1.39,0.0113487916394513,539,0.0451915821245913
"1098",21209,"Scott County, Kentucky",141.36,141.48,141.08,141.79,142.83,142.97,143.32,144.16,144.51,27202,28688,29600,30259,30999,31653,32276,33057,33953,3.15000000000001,0.0222835314091681,6751,0.248180280861701
"1099",21211,"Shelby County, Kentucky",135.39,136.09,137.69,137.36,137.68,138.36,138.63,138.74,138.95,26828,27262,27882,28443,28849,29316,29906,30362,31052,3.56,0.0262944087451067,4224,0.157447442970031
"1100",21213,"Simpson County, Kentucky",127.41,127.73,129.46,128.93,128.34,128.84,129.96,129.62,130.47,11461,11504,11526,11615,11655,11822,12019,12174,12102,3.05999999999999,0.0240169531433952,641,0.0559288020242562
"1101",21215,"Spencer County, Kentucky",130.03,131.51,132.38,131.25,132.82,133.95,135.01,136.52,138.02,11388,11090,11374,11551,11649,11763,12021,12177,12562,7.98999999999998,0.0614473583019302,1174,0.103090972953987
