,id,county,chci09,chci10,chci11,chci12,chci13,chci14,chci15,chci16,chci17,pop09,pop10,pop11,pop12,pop13,pop14,pop15,pop16,pop17,chcig,chcigr,popg,popgr,fips
946,20113,"McPherson County, Kansas",138.12,138.64,138.5,139.01,140.21,140.92,142.62,143.41,143.99,19106,19617,19725,19839,19933,19949,19905,19836,19413,5.87,0.042499276,307,0.016068251,20113
947,20115,"Marion County, Kansas",135.48,136.05,136.21,137.01,136.89,138.2,137.81,138.81,139.62,8292,8597,8579,8544,8537,8535,8468,8413,8329,4.14,0.030558016,37,0.004462132,20115
948,20117,"Marshall County, Kansas",130.72,129.79,129.94,130,133.06,133.69,135.17,136.34,136.73,7069,7156,7150,7166,7135,7122,7055,7046,6921,6.01,0.045976132,-148,-0.020936483,20117
949,20119,"Meade County, Kansas",133.28,134.95,135.89,136.51,136.51,135.64,134.96,134.84,131.96,2797,2871,2900,2959,2910,2870,2865,2801,2755,-1.32,-0.009903962,-42,-0.015016089,20119
950,20121,"Miami County, Kansas",141.33,140.9,141.55,141.93,141.72,141.21,141.75,143.11,144.03,19883,21257,21368,21513,21693,21810,21758,21936,22327,2.7,0.019104224,2444,0.122919077,20121
951,20123,"Mitchell County, Kansas",139.03,138.41,137.29,138.16,140.77,139.91,143.21,143.98,143.2,4336,4500,4479,4438,4386,4371,4323,4274,4226,4.17,0.029993527,-110,-0.025369004,20123
952,20125,"Montgomery County, Kansas",135.12,134.57,134.95,134.97,135.2,134.63,135.73,136.21,136.77,23167,23646,23489,23338,23193,22979,22784,22644,22524,1.65,0.012211368,-643,-0.027754996,20125
953,20127,"Morris County, Kansas",135.11,134.67,137.6,135.4,135.13,134.93,135.17,133.81,134.67,4222,4223,4240,4233,4243,4217,4186,4145,4097,-0.44,-0.003256606,-125,-0.029606821,20127
954,20129,"Morton County, Kansas",134.41,135.12,132.37,129.49,130.44,130.96,128.58,129.75,129.28,2020,2091,2101,2130,2084,2061,2005,1949,1852,-5.13,-0.038166803,-168,-0.083168317,20129
955,20131,"Nemaha County, Kansas",131.18,131.83,134.5,132.42,134.1,136.52,137.32,137.19,139.89,6614,6934,6966,6942,6884,6817,6792,6749,6658,8.71,0.066397317,44,0.006652555,20131
956,20133,"Neosho County, Kansas",132.09,133.67,132.82,134.55,134.95,137.62,137.62,138.5,139.27,10402,10671,10969,10936,10966,10928,10886,10801,10777,7.18,0.054356878,375,0.036050759,20133
957,20135,"Ness County, Kansas",135.22,136.24,134.87,136.13,136.5,136.45,136.65,137.24,136.49,2125,2289,2316,2357,2334,2356,2285,2204,2184,1.27,0.009392102,59,0.027764706,20135
958,20137,"Norton County, Kansas",134.15,134.68,133.76,133.31,132.5,131.72,131.81,130.5,133.42,4208,4215,4125,4137,4192,4118,4097,4045,3972,-0.73,-0.00544167,-236,-0.05608365,20137
959,20139,"Osage County, Kansas",135.68,136.23,136.23,136.76,137.2,137.46,136.41,137.3,138.01,11047,11161,11177,11157,11145,11096,11069,11016,10988,2.33,0.017172759,-59,-0.005340817,20139
